username,date,tweet,link
lathifayani,2022-12-03,"Menteri Pertahanan (Menhan), Prabowo Subianto, terus mendapat banyak dukungan pada Pemilihan Umum (Pemilu) 2024.  https://t.co/iFx80TwKk1 @prabowo #dekade08 #MendingPrabowo #Pilpres2024 #terusmajubersamaprabowo",https://twitter.com/LathifaYani/status/1598975354601091075
gantinamadong,2022-12-03,Akhir zaman. Orgil ikut pemilu. Kotak suaranya kardus digembok. Orang sakit jiwa jadi menteri &amp; anggota dewan. Raja bohong jadi presiden. Agama dimusuhi. Rakyat diseret ke neraka. Kacau tidak?,https://twitter.com/GantiNamaDong/status/1598975304932134913
ryanmatrex,2022-12-03,Demokrat desak presiden tertibkan pendukung yang tebar kebencian. . #demokrat #pdemokrat #partaidemokrat #perubahan #perubahandanperbaikan #ahy #herzakymahendraputra #ahypemimpinperubahan #pemilu #pilpres #menang #mamuju #sulbar  https://t.co/eIuFlzNcf3,https://twitter.com/ryanmatrex/status/1598974955613741056
pdiptuban_jatim,2022-12-03,@bp_pemilu  https://t.co/0YDeP7nn4V,https://twitter.com/Pdiptuban_jatim/status/1598974792337870849
panwascam_karto,2022-12-03,Fasilitasi Penyelesaian Sengketa Proses Tahapan Pemilu Tahun 2024  #bawasluri #bawaslujatim #bawaslukotamadiun #panwascam2024  https://t.co/Ymqs8i6nal,https://twitter.com/panwascam_karto/status/1598974788139159552
bawaslu_barru,2022-12-03,"#SahabatBawaslu, Selamat Hari Disabiltas Internasional. #AyoAwasiBersama Pemilu kita, agar semakin mudah dan akses bagi penyandang disabilitas. Difabel memiliki hak yang setara dalam pemilu dan demokrasi.  #BawasluBerkolaborasi #AyoAwasiBersama  https://t.co/HmUlGWwnEh",https://twitter.com/bawaslu_barru/status/1598974387067453440
panwascam_karto,2022-12-03,Fasilitasi Sentra Penegakkan Hukum Terpadu (GAKKUMDU) Kota Madiun Pada Penyelenggaraan Pemilu Tahun 2024  #bawasluri #bawaslujatim #bawaslukotamadiun #panwascam2024  https://t.co/Nuq4FfwU8g,https://twitter.com/panwascam_karto/status/1598974141004414979
portalsdadotcom,2022-12-03,Contoh Soal Ujian Tes PPK &amp; PPS Pemilu 2024 Materi Pilkada Part 4 #LatihanSoal  https://t.co/AO4gyeugLO,https://twitter.com/PortalSDAdotcom/status/1598973557794553856
josmurinho,2022-12-03,Mari lah saudara sebangsa dan se tanah air kita doakan bpk Yudo Margono Panglima TNI yg baru agar bisa sukses tugasnya di tahun pilitik 2024 ini.Tolok ukur suksesnya  1Tdk ada rekayasa kemenangan Capres 2Tdk ada kematian KPPS seperti pemilu 2019 3Pilpres Aman Jujur Adil  https://t.co/UyI8nNRoEj,https://twitter.com/josmurinho/status/1598973087353298944
endam_hamdani,2022-12-03,"@CNNIndonesia Perpolitikan kita berlangsung dari 1955 - 2024 nanti. Rakyat pada pada dasarnya patuhi amanat Konstitusi Negara, menjalankan Pemilu. Yang bermain nakal kadang oknum elit elite kontestan pemilu itu sendiri. Pembenahan moral harus mulai dari Partai partai.",https://twitter.com/endam_hamdani/status/1598973066566303744
mu_firstclass,2022-12-03,@mardigu024 Tangan berdarah teriris sembilu harus berobat ke Bang Ahmat Elo pikir gw nungguin Pemilu Padahal mah BODO AMAT,https://twitter.com/MU_firstclass/status/1598971986646282240
rmol_id,2022-12-03,"Siapkan Perangkat Hukum yang Jelas, Upaya KPU Wujudkan Hasil Pemilu Didukung Rakyat  https://t.co/c6kEhwMFM7",https://twitter.com/rmol_id/status/1598971675135344640
